,date,known variable,unknown / resultant variable / return if LONG,What to DO (Buy or Sell or HOLD)
,Jan-3-2017,-1.18%,0.18%,HOLD
,Jan-4-2017,0.18%,0.43%,Buy
,Jan-6-2017,0.43%,0.76%,Buy
,Jan-9-2017,0.76%,0.26%,Buy
,Jan-10-2017,0.26%,0.19%,HOLD
,Jan-11-2017,0.19%,0.24%,HOLD
,Jan-12-2017,0.24%,0.20%,HOLD
,Jan-13-2017,0.20%,0.28%,HOLD
,Jan-17-2017,0.28%,0.01%,HOLD
,Jan-18-2017,0.01%,0.07%,HOLD
,Jan-19-2017,0.07%,-0.19%,HOLD
,Jan-20-2017,-0.19%,-0.21%,HOLD
,Jan-23-2017,-0.21%,0.15%,Sell
,Jan-24-2017,0.15%,0.47%,HOLD
,Jan-25-2017,0.47%,0.38%,HOLD
,Jan-26-2017,0.38%,-0.05%,Buy
,Jan-27-2017,-0.05%,-0.01%,HOLD
,Jan-30-2017,-0.01%,-0.42%,HOLD
,Jan-31-2017,-0.42%,0.16%,HOLD
,Feb-1-2017,0.16%,0.01%,HOLD
,Feb-2-2017,0.01%,0.08%,HOLD
,Feb-3-2017,0.08%,0.18%,HOLD
,Feb-6-2017,0.18%,0.32%,HOLD
,Feb-7-2017,0.32%,0.17%,HOLD
,Feb-8-2017,0.17%,0.33%,HOLD
,Feb-9-2017,0.33%,0.27%,HOLD
,Feb-10-2017,0.27%,0.13%,HOLD
,Feb-13-2017,0.13%,0.27%,HOLD
,Feb-14-2017,0.27%,0.30%,HOLD
,Feb-15-2017,0.30%,0.66%,HOLD
,Feb-16-2017,0.66%,-0.09%,HOLD
,Feb-17-2017,-0.09%,0.57%,HOLD
,Feb-21-2017,0.57%,0.33%,HOLD
,Feb-22-2017,0.33%,0.13%,HOLD
,Feb-23-2017,0.13%,-0.49%,HOLD
,Feb-24-2017,-0.49%,0.59%,HOLD
,Feb-27-2017,0.59%,0.32%,HOLD
,Feb-28-2017,0.32%,-0.30%,HOLD
,Mar-1-2017,-0.30%,0.50%,HOLD
,Mar-2-2017,0.50%,-0.49%,HOLD
,Mar-3-2017,-0.49%,0.29%,HOLD
,Mar-6-2017,0.29%,0.13%,HOLD
,Mar-7-2017,0.13%,0.05%,HOLD
,Mar-8-2017,0.05%,0.13%,HOLD
,Mar-9-2017,0.13%,0.10%,HOLD
,Mar-10-2017,0.10%,-0.03%,HOLD
,Mar-13-2017,-0.03%,0.19%,HOLD
,Mar-14-2017,0.19%,-0.03%,HOLD
,Mar-15-2017,-0.03%,0.40%,HOLD
,Mar-16-2017,0.40%,-0.23%,HOLD
,Mar-17-2017,-0.23%,-0.18%,HOLD
,Mar-20-2017,-0.18%,0.11%,HOLD
,Mar-21-2017,0.11%,-1.88%,HOLD
,Mar-22-2017,-1.88%,0.60%,Sell
,Mar-23-2017,0.60%,-0.10%,Sell
,Mar-24-2017,-0.10%,-0.11%,HOLD
,Mar-27-2017,-0.11%,0.87%,HOLD
,Mar-28-2017,0.87%,0.64%,HOLD
,Mar-29-2017,0.64%,0.39%,Sell
,Mar-30-2017,0.39%,0.17%,Buy
,Mar-31-2017,0.17%,0.07%,HOLD
,Apr-3-2017,0.07%,-0.16%,HOLD
,Apr-4-2017,-0.16%,0.45%,HOLD
,Apr-5-2017,0.45%,-0.53%,Buy
,Apr-6-2017,-0.53%,-0.05%,HOLD
,Apr-7-2017,-0.05%,-0.02%,HOLD
,Apr-10-2017,-0.02%,-0.05%,HOLD
,Apr-11-2017,-0.05%,-0.27%,Sell
,Apr-12-2017,-0.27%,-0.39%,HOLD
,Apr-13-2017,-0.39%,-0.28%,HOLD
,Apr-17-2017,-0.28%,0.52%,Sell
,Apr-18-2017,0.52%,0.21%,HOLD
,Apr-19-2017,0.21%,-0.27%,HOLD
,Apr-20-2017,-0.27%,0.39%,HOLD
,Apr-21-2017,0.39%,-0.12%,Buy
,Apr-24-2017,-0.12%,0.10%,Buy
,Apr-25-2017,0.10%,0.40%,HOLD
,Apr-26-2017,0.40%,-0.18%,HOLD
,Apr-27-2017,-0.18%,0.33%,HOLD
,Apr-28-2017,0.33%,-0.23%,HOLD
,May-1-2017,-0.23%,0.52%,HOLD
,May-2-2017,0.52%,0.05%,HOLD
,May-3-2017,0.05%,-0.13%,HOLD
,May-4-2017,-0.13%,0.03%,HOLD
,May-5-2017,0.03%,0.11%,HOLD
,May-8-2017,0.11%,0.17%,HOLD
,May-9-2017,0.17%,0.22%,HOLD
,May-10-2017,0.22%,-0.01%,HOLD
,May-11-2017,-0.01%,0.20%,HOLD
,May-12-2017,0.20%,0.17%,HOLD
,May-15-2017,0.17%,0.30%,HOLD
,May-16-2017,0.30%,0.20%,HOLD
,May-17-2017,0.20%,-1.77%,HOLD
,May-18-2017,-1.77%,0.87%,HOLD
,May-19-2017,0.87%,0.10%,HOLD
,May-22-2017,0.10%,0.63%,Sell
,May-23-2017,0.63%,-0.19%,HOLD
,May-24-2017,-0.19%,0.16%,Buy
,May-25-2017,0.16%,0.47%,HOLD
,May-26-2017,0.47%,0.15%,HOLD
,May-30-2017,0.15%,0.14%,HOLD
,May-31-2017,0.14%,-0.38%,HOLD
,Jun-1-2017,-0.38%,0.21%,HOLD
,Jun-2-2017,0.21%,0.78%,HOLD
,Jun-5-2017,0.78%,-0.02%,HOLD
,Jun-6-2017,-0.02%,-0.29%,HOLD
,Jun-7-2017,-0.29%,0.13%,HOLD
,Jun-8-2017,0.13%,-0.11%,HOLD
,Jun-9-2017,-0.11%,-2.60%,HOLD
,Jun-12-2017,-2.60%,0.30%,Sell
,Jun-13-2017,0.30%,0.24%,Sell
,Jun-14-2017,0.24%,-0.80%,HOLD
,Jun-15-2017,-0.80%,0.54%,HOLD
,Jun-16-2017,0.54%,-0.36%,Sell
,Jun-19-2017,-0.36%,0.72%,HOLD
,Jun-20-2017,0.72%,-0.68%,HOLD
,Jun-21-2017,-0.68%,0.77%,HOLD
