,date,known variable,unknown / resultant variable / return if LONG,What to DO (Buy or Sell or HOLD),,
,Jan-3-2017,-1.18%,0.18%,,,How can we generalize the behavior of the known variable to inform our opinion of what is likely to occur with the unknown / outcome variable?
,Jan-4-2017,0.18%,0.43%,,,
,Jan-6-2017,0.43%,0.76%,,,"I.e. the question we are asking is, what are two simple long AND short algorithms we could write that would capture the relationship between the two sets of data and give the correct buy or sell signal?"
,Jan-9-2017,0.76%,0.26%,,,
,Jan-10-2017,0.26%,0.19%,,,
,Jan-11-2017,0.19%,0.24%,,,
,Jan-12-2017,0.24%,0.20%,,,
,Jan-13-2017,0.20%,0.28%,,,
,Jan-17-2017,0.28%,0.01%,,,
,Jan-18-2017,0.01%,0.07%,,,
,Jan-19-2017,0.07%,-0.19%,,,
,Jan-20-2017,-0.19%,-0.21%,,,
,Jan-23-2017,-0.21%,0.15%,,,
,Jan-24-2017,0.15%,0.47%,,,
,Jan-25-2017,0.47%,0.38%,,,
,Jan-26-2017,0.38%,-0.05%,,,
,Jan-27-2017,-0.05%,-0.01%,,,
,Jan-30-2017,-0.01%,-0.42%,,,
,Jan-31-2017,-0.42%,0.16%,,,
,Feb-1-2017,0.16%,0.01%,,,
,Feb-2-2017,0.01%,0.08%,,,
,Feb-3-2017,0.08%,0.18%,,,
,Feb-6-2017,0.18%,0.32%,,,
,Feb-7-2017,0.32%,0.17%,,,
,Feb-8-2017,0.17%,0.33%,,,
,Feb-9-2017,0.33%,0.27%,,,
,Feb-10-2017,0.27%,0.13%,,,
,Feb-13-2017,0.13%,0.27%,,,
,Feb-14-2017,0.27%,0.30%,,,
,Feb-15-2017,0.30%,0.66%,,,
,Feb-16-2017,0.66%,-0.09%,,,
,Feb-17-2017,-0.09%,0.57%,,,
,Feb-21-2017,0.57%,0.33%,,,
,Feb-22-2017,0.33%,0.13%,,,
,Feb-23-2017,0.13%,-0.49%,,,
,Feb-24-2017,-0.49%,0.59%,,,
,Feb-27-2017,0.59%,0.32%,,,
,Feb-28-2017,0.32%,-0.30%,,,
,Mar-1-2017,-0.30%,0.50%,,,
,Mar-2-2017,0.50%,-0.49%,,,
,Mar-3-2017,-0.49%,0.29%,,,
,Mar-6-2017,0.29%,0.13%,,,
,Mar-7-2017,0.13%,0.05%,,,
,Mar-8-2017,0.05%,0.13%,,,
,Mar-9-2017,0.13%,0.10%,,,
,Mar-10-2017,0.10%,-0.03%,,,
,Mar-13-2017,-0.03%,0.19%,,,
,Mar-14-2017,0.19%,-0.03%,,,
,Mar-15-2017,-0.03%,0.40%,,,
,Mar-16-2017,0.40%,-0.23%,,,
,Mar-17-2017,-0.23%,-0.18%,,,
,Mar-20-2017,-0.18%,0.11%,,,
,Mar-21-2017,0.11%,-1.88%,,,
,Mar-22-2017,-1.88%,0.60%,,,
,Mar-23-2017,0.60%,-0.10%,,,
,Mar-24-2017,-0.10%,-0.11%,,,
,Mar-27-2017,-0.11%,0.87%,,,
,Mar-28-2017,0.87%,0.64%,,,
,Mar-29-2017,0.64%,0.39%,,,
,Mar-30-2017,0.39%,0.17%,,,
,Mar-31-2017,0.17%,0.07%,,,
,Apr-3-2017,0.07%,-0.16%,,,
,Apr-4-2017,-0.16%,0.45%,,,
,Apr-5-2017,0.45%,-0.53%,,,
,Apr-6-2017,-0.53%,-0.05%,,,
,Apr-7-2017,-0.05%,-0.02%,,,
,Apr-10-2017,-0.02%,-0.05%,,,
,Apr-11-2017,-0.05%,-0.27%,,,
,Apr-12-2017,-0.27%,-0.39%,,,
,Apr-13-2017,-0.39%,-0.28%,,,
,Apr-17-2017,-0.28%,0.52%,,,
,Apr-18-2017,0.52%,0.21%,,,
,Apr-19-2017,0.21%,-0.27%,,,
,Apr-20-2017,-0.27%,0.39%,,,
,Apr-21-2017,0.39%,-0.12%,,,
,Apr-24-2017,-0.12%,0.10%,,,
,Apr-25-2017,0.10%,0.40%,,,
,Apr-26-2017,0.40%,-0.18%,,,
,Apr-27-2017,-0.18%,0.33%,,,
,Apr-28-2017,0.33%,-0.23%,,,
,May-1-2017,-0.23%,0.52%,,,
,May-2-2017,0.52%,0.05%,,,
,May-3-2017,0.05%,-0.13%,,,
,May-4-2017,-0.13%,0.03%,,,
,May-5-2017,0.03%,0.11%,,,
,May-8-2017,0.11%,0.17%,,,
,May-9-2017,0.17%,0.22%,,,
,May-10-2017,0.22%,-0.01%,,,
,May-11-2017,-0.01%,0.20%,,,
,May-12-2017,0.20%,0.17%,,,
